osmid y x
167 37.9916387 23.7290582
168 37.99269 23.7326721
169 37.9891868 23.7360856
170 37.9832153 23.7288925
171 37.9841488 23.7346288
172 37.9850609 23.7339253
173 37.9843766 23.7326199
174 37.984045 23.7331594
175 37.9836516 23.7336753
176 37.9844929 23.7334805
177 37.9846272 23.7330888
178 37.984987 23.7321942
179 37.9912906 23.7312765
180 37.9915271 23.7329792
181 37.9920971 23.7325336
182 37.9917193 23.7318478
183 37.9864606 23.7299917
184 37.9901202 23.7353908
185 37.9894966 23.7306793
186 37.9824431 23.7336127
187 37.9913526 23.7340988
188 37.9911134 23.7356301
189 37.9883075 23.7242178
190 37.9874281 23.724221
191 37.9869554 23.7229805
192 37.9926739 23.7301271
193 37.9924741 23.7314192
194 37.9927852 23.7301518
195 37.9912319 23.7289639
196 37.9911613 23.729754
197 37.9885834 23.7267009
198 37.9886266 23.726401
199 37.9852643 23.724206
200 37.9896917 23.7356693
201 37.9807198 23.7347143
202 37.9792474 23.7354357
203 37.9799327 23.7348434
204 37.9856916 23.7316134
205 37.9870356 23.7269458
206 37.9784184 23.7322178
207 37.9862947 23.7252346
208 37.9761678 23.7360978
209 37.9758298 23.7357623
210 37.9920319 23.7320958
211 37.9891989 23.7306058
212 37.9892924 23.7303329
213 37.9865524 23.7271435
214 37.9872173 23.7267556
215 37.9863805 23.7269891
216 37.9880446 23.7282268
217 37.986675 23.7286444
218 37.9872972 23.72701
219 37.9873279 23.7265063
220 37.987173 23.7268008
221 37.9878474 23.7282446
222 37.9871311 23.7267319
223 37.9830717 23.725807
224 37.9896263 23.7357192
225 37.9761034 23.7357956
226 37.9919489 23.7324856
227 37.9768844 23.7358882
228 37.9858092 23.7307639
229 37.9874638 23.7272465
230 37.9874066 23.7271499
231 37.9915948 23.7319461
232 37.9847125 23.73366
233 37.9917038 23.7312294
234 37.9917942 23.7314073
235 37.9916806 23.731379
236 37.9759741 23.7376179
237 37.9772926 23.7378391
238 37.986877 23.7310243
239 37.9805914 23.7301146
240 37.9859706 23.7246801
241 37.9820107 23.7289059
242 37.9918191 23.7312574
243 37.9921449 23.7314861
244 37.9783174 23.7320061
245 37.9834244 23.7266101
246 37.9875243 23.7236788
247 37.9760329 23.7356402
248 37.992112 23.7314787
249 37.9888743 23.7250288
250 37.988863 23.7250927
251 37.9869547 23.7263633
252 37.9820951 23.735425
253 37.9825191 23.7350832
254 37.9808197 23.7364526
255 37.9800974 23.7370345
256 37.9802494 23.735395
257 37.9848608 23.7261732
258 37.9849398 23.7256652
