ori,des,path,len
165,393,165_175_160_168_167_393,6
210,239,210_201_233_243_237_239,6
210,279,210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,17
210,239,210_201_233_243_237_239,6
210,279,210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,17
210,239,210_201_233_243_237_239,6
188,239,188_189_210_201_233_243_237_239,8
145,239,145_210_201_233_243_237_239,7
188,239,188_189_210_201_233_243_237_239,8
189,239,189_210_201_233_243_237_239,7
210,323,210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,18
188,51,188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,16
235,400,235_231_233_243_236_400,6
308,155,308_235_231_232_199_207_146_147_149_225_152_153_155,13
246,240,246_30_235_231_233_243_237_239_240,9
93,233,93_77_75_308_235_231_233,7
91,239,91_85_312_348_83_77_75_308_235_231_233_243_237_239,14
91,239,91_85_312_348_83_77_75_308_235_231_233_243_237_239,14
91,199,91_85_312_348_83_77_75_308_235_231_232_199,12
235,225,235_231_232_199_207_146_147_149_225,9
235,256,235_231_232_199_207_146_147_149_225_152_153_154_156_164_256,15
165,393,165_175_160_168_167_393,6
165,393,165_175_160_168_167_393,6
235,155,235_231_232_199_207_146_147_149_225_152_153_155,12
317,239,317_315_303_272_306_387_398_386_91_85_312_348_83_77_75_308_235_231_233_243_237_239,22
180,393,180_418_249_165_175_160_168_167_393,9
418,393,418_249_165_175_160_168_167_393,8
235,155,235_231_232_199_207_146_147_149_225_152_153_155,12
177,240,177_178_188_189_210_201_233_243_237_239_240,11
231,155,231_232_199_207_146_147_149_225_152_153_155,11
231,155,231_232_199_207_146_147_149_225_152_153_155,11
249,393,249_165_175_160_168_167_393,7
165,393,165_175_160_168_167_393,6
317,89,317_315_303_272_306_387_398_386_90_89,10
317,89,317_315_303_272_306_387_398_386_90_89,10
317,89,317_315_303_272_306_387_398_386_90_89,10
317,89,317_315_303_272_306_387_398_386_90_89,10
317,89,317_315_303_272_306_387_398_386_90_89,10
401,155,401_285_199_207_146_147_149_225_152_153_155,11
401,393,401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,18
401,393,401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,18
401,155,401_285_199_207_146_147_149_225_152_153_155,11
177,240,177_178_188_189_210_201_233_243_237_239_240,11
177,240,177_178_188_189_210_201_233_243_237_239_240,11
177,89,177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89,20
177,240,177_178_188_189_210_201_233_243_237_239_240,11
177,240,177_178_188_189_210_201_233_243_237_239_240,11
177,240,177_178_188_189_210_201_233_243_237_239_240,11
177,400,177_178_188_189_210_201_233_243_236_400,10
201,240,201_233_243_237_239_240,6
194,240,194_181_313_184_178_188_189_210_201_233_243_237_239_240,14
184,51,184_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,18
47,13,47_45_42_38_36_247_13,7
45,13,45_42_38_36_247_13,6
41,8,41_378_382_353_1_127_409_71_26_342_8,11
41,8,41_378_382_353_1_127_409_71_26_342_8,11
378,8,378_382_353_1_127_409_71_26_342_8,10
382,8,382_353_1_127_409_71_26_342_8,9
382,8,382_353_1_127_409_71_26_342_8,9
382,8,382_353_1_127_409_71_26_342_8,9
382,8,382_353_1_127_409_71_26_342_8,9
382,8,382_353_1_127_409_71_26_342_8,9
382,8,382_353_1_127_409_71_26_342_8,9
382,8,382_353_1_127_409_71_26_342_8,9
382,8,382_353_1_127_409_71_26_342_8,9
382,8,382_353_1_127_409_71_26_342_8,9
132,247,132_134_52_361_0_367_352_247,8
331,137,331_53_61_62_68_321_402_137,8
52,13,52_361_0_367_352_247_13,7
52,51,52_361_0_366_362_354_51,7
52,13,52_361_0_367_352_247_13,7
361,13,361_0_367_352_247_13,6
45,8,45_41_378_382_353_1_127_409_71_26_342_8,12
339,8,339_362_353_1_127_409_71_26_342_8,10
382,8,382_353_1_127_409_71_26_342_8,9
45,26,45_41_378_382_353_1_127_409_71_26,10
184,240,184_178_188_189_210_201_233_243_237_239_240,11
73,323,73_22_329_89_279_323,6
73,323,73_22_329_89_279_323,6
73,323,73_22_329_89_279_323,6
23,323,23_73_22_329_89_279_323,7
24,404,24_350_311_79_81_117_300_389_388_404,10
81,404,81_117_300_389_388_404,6
350,404,350_311_79_81_117_300_389_388_404,9
73,323,73_22_329_89_279_323,6
317,32,317_315_303_272_306_387_398_386_91_85_312_348_83_77_75_308_235_230_32,19
91,365,91_85_312_348_83_78_49_365,8
50,279,50_20_23_73_22_329_89_279,8
244,373,244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_273_271_373,19
184,23,184_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23,16
356,80,356_19_24_350_311_79_80,7
356,404,356_19_24_350_311_79_81_117_300_389_388_404,12
356,259,356_19_24_350_311_79_81_117_299_383_274_265_263_260_259,15
356,80,356_20_23_73_21_84_80,7
356,258,356_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,16
358,323,358_40_50_20_23_73_22_329_89_279_323,11
244,323,244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,15
34,311,34_33_31_358_40_50_19_24_350_311,10
34,279,34_33_31_358_40_50_20_23_73_22_329_89_279,13
40,279,40_50_20_23_73_22_329_89_279,9
358,279,358_40_50_20_23_73_22_329_89_279,10
358,279,358_40_50_20_23_73_22_329_89_279,10
40,22,40_50_20_23_73_22,6
40,323,40_50_20_23_73_22_329_89_279_323,10
50,118,50_20_23_73_21_84_80_118,8
40,323,40_50_20_23_73_22_329_89_279_323,10
50,279,50_20_23_73_22_329_89_279,8
50,404,50_20_23_73_21_84_81_117_300_389_388_404,12
19,259,19_24_350_311_79_81_117_299_383_274_265_263_260_259,14
19,271,19_24_350_311_79_81_117_299_383_273_271,11
19,258,19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,15
19,373,19_24_350_311_79_81_117_299_383_273_271_373,12
19,258,19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,15
50,373,50_19_24_350_311_79_80_118_124_116_276_273_271_373,14
50,279,50_20_23_73_22_329_89_279,8
356,373,356_19_24_350_311_79_80_118_124_116_276_273_271_373,14
19,373,19_24_350_311_79_81_117_299_383_273_271_373,12
124,404,124_116_276_273_272_305_404,7
180,255,180_418_249_165_174_255,6
180,393,180_418_249_165_175_160_168_167_393,9
180,393,180_418_249_165_175_160_168_167_393,9
183,393,183_180_418_249_165_175_160_168_167_393,10
333,335,333_223_180_418_250_335,6
292,256,292_194_181_313_183_180_418_249_164_256,10
243,393,243_236_401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,20
180,393,180_418_249_165_175_160_168_167_393,9
180,393,180_418_249_165_175_160_168_167_393,9
180,393,180_418_249_165_175_160_168_167_393,9
91,155,91_85_312_348_83_77_75_308_235_231_232_199_207_146_147_149_225_152_153_155,20
85,147,85_312_348_83_77_75_308_235_231_232_199_207_146_147,14
85,155,85_312_348_83_77_75_308_235_231_232_199_207_146_147_149_225_152_153_155,19
16,155,16_236_401_285_199_207_146_147_149_225_152_153_155,13
317,89,317_315_303_272_306_387_398_386_90_89,10
317,404,317_315_303_272_305_404,6
414,202,414_248_411_413_185_222_213_295_202,9
331,393,331_52_361_0_367_352_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,26
177,240,177_178_188_189_210_201_233_243_237_239_240,11
47,13,47_45_42_38_36_247_13,7
317,89,317_315_303_272_306_387_398_386_90_89,10
177,221,177_178_188_190_192_182_221,7
232,155,232_199_207_146_147_149_225_152_153_155,10
93,239,93_77_75_308_235_231_233_243_237_239,10
130,66,130_128_69_144_64_66,6
177,240,177_178_188_189_210_201_233_243_237_239_240,11
55,67,55_132_134_53_61_63_64_67,8
177,244,177_178_188_189_210_201_233_244,8
177,240,177_178_188_189_210_201_233_243_237_239_240,11
317,89,317_315_303_272_306_387_398_386_90_89,10
317,89,317_315_303_272_306_387_398_386_90_89,10
414,202,414_248_411_413_185_222_213_295_202,9
331,67,331_53_61_63_64_67,6
177,221,177_178_188_190_192_182_221,7
177,23,177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23,16
47,393,47_45_42_38_36_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,25
317,400,317_315_303_272_306_387_398_386_91_85_312_348_83_77_75_308_235_231_233_243_236_400,22
55,74,55_132_134_52_361_0_366_363_359_381_380_37_39_74,14
177,221,177_178_188_190_192_182_221,7
177,240,177_178_188_189_210_201_233_243_237_239_240,11
93,51,93_78_49_365_47_44_51,7
414,202,414_248_411_413_185_222_213_295_202,9
94,8,94_307_357_35_339_362_353_1_127_409_71_26_342_8,14
177,32,177_178_188_189_210_201_233_244_34_32,10
317,89,317_315_303_272_306_387_398_386_90_89,10
45,8,45_41_378_382_353_1_127_409_71_26_342_8,12
177,240,177_178_188_189_210_201_233_243_237_239_240,11
414,202,414_248_411_413_185_222_213_295_202,9
93,51,93_78_49_365_47_44_51,7
317,404,317_315_303_272_305_404,6
177,221,177_178_188_190_192_182_221,7
97,8,97_94_307_357_35_339_362_353_1_127_409_71_26_342_8,15
414,202,414_248_411_413_185_222_213_295_202,9
401,239,401_284_233_243_237_239,6
298,393,298_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,16
93,225,93_77_75_308_235_231_232_199_207_146_147_149_225,13
317,89,317_315_303_272_306_387_398_386_90_89,10
45,8,45_41_378_382_353_1_127_409_71_26_342_8,12
317,89,317_315_303_272_306_387_398_386_90_89,10
177,240,177_178_188_189_210_201_233_243_237_239_240,11
199,225,199_207_146_147_149_225,6
317,89,317_315_303_272_306_387_398_386_90_89,10
331,354,331_52_361_0_366_362_354,7
177,225,177_178_187_147_149_225,6
177,239,177_178_188_189_210_201_233_243_237_239,10
45,8,45_41_378_382_353_1_127_409_71_26_342_8,12
87,258,87_106_267_263_260_259_258,7
177,240,177_178_188_189_210_201_233_243_237_239_240,11
414,202,414_248_411_413_185_222_213_295_202,9
317,89,317_315_303_272_306_387_398_386_90_89,10
45,8,45_41_378_382_353_1_127_409_71_26_342_8,12
78,8,78_49_365_48_41_378_382_353_1_127_409_71_26_342_8,15
177,51,177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,18
177,279,177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,21
55,393,55_132_134_52_361_0_367_352_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,28
177,323,177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,22
87,302,87_106_267_262_315_302,6
47,8,47_45_41_378_382_353_1_127_409_71_26_342_8,13
55,259,55_132_134_52_361_0_366_363_359_381_379_43_46_356_19_24_350_311_79_81_117_299_383_274_265_263_260_259,28
177,240,177_178_188_189_210_201_233_243_237_239_240,11
401,279,401_284_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,17
94,51,94_307_357_35_339_362_354_51,8
317,89,317_315_303_272_306_387_398_386_90_89,10
317,155,317_315_303_272_306_387_398_386_91_85_312_348_83_77_75_308_235_231_232_199_207_146_147_149_225_152_153_155,28
317,404,317_315_303_272_305_404,6
177,314,177_178_188_190_192_181_314,7
45,8,45_41_378_382_353_1_127_409_71_26_342_8,12
401,323,401_284_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,18
55,13,55_132_134_52_361_0_367_352_247_13,10
177,240,177_178_188_189_210_201_233_243_237_239_240,11
317,89,317_315_303_272_306_387_398_386_90_89,10
234,393,234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,18
281,373,281_21_84_81_117_299_383_273_271_373,10
177,279,177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,21
177,240,177_178_188_189_210_201_233_243_237_239_240,11
157,240,157_158_177_178_188_189_210_201_233_243_237_239_240,13
158,236,158_177_178_188_189_210_201_233_243_236,10
154,240,154_157_158_177_178_188_189_210_201_233_243_237_239_240,14
335,239,335_158_177_178_188_189_210_201_233_243_237_239,12
154,8,154_157_158_177_178_188_189_210_201_233_244_34_33_31_357_35_339_362_353_1_127_409_71_26_342_8,26
157,51,157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,20
158,279,158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279,22
154,259,154_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_274_265_263_260_259,31
154,240,154_157_158_177_178_188_189_210_201_233_243_237_239_240,14
154,89,154_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89,23
170,23,170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23,22
346,240,346_170_370_169_375_157_158_177_178_188_189_210_201_233_243_237_239_240,18
157,147,157_158_177_178_187_147,6
158,155,158_177_178_187_147_149_225_152_153_155,10
375,200,375_157_158_177_178_188_189_210_200,9
370,240,370_169_375_157_158_177_178_188_189_210_201_233_243_237_239_240,16
169,151,169_375_157_158_177_178_187_147_149_225_151,11
375,200,375_157_158_177_178_188_189_210_200,9
169,221,169_375_157_158_177_178_188_190_192_182_221,11
169,200,169_375_157_158_177_178_188_189_210_200,10
346,225,346_170_370_169_375_157_158_177_178_187_147_149_225,13
346,51,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,25
154,393,154_156_165_175_160_168_167_393,8
154,393,154_156_165_175_160_168_167_393,8
154,393,154_156_165_175_160_168_167_393,8
154,393,154_156_165_175_160_168_167_393,8
154,393,154_156_165_175_160_168_167_393,8
211,393,211_154_156_165_175_160_168_167_393,9
211,393,211_154_156_165_175_160_168_167_393,9
375,404,375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_21_84_81_117_300_389_388_404,28
225,393,225_152_153_154_156_165_175_160_168_167_393,11
177,404,177_178_188_189_210_201_233_244_34_33_31_358_40_50_19_24_350_311_79_81_117_300_389_388_404,25
375,393,375_156_165_175_160_168_167_393,8
375,145,375_157_158_177_178_188_189_210_201_232_199_207_145,13
232,155,232_199_207_146_147_149_225_152_153_155,10
108,302,108_106_267_262_315_302,6
317,404,317_315_303_272_305_404,6
317,89,317_315_303_272_306_387_398_386_90_89,10
55,13,55_132_134_52_361_0_367_352_247_13,10
317,89,317_315_303_272_306_387_398_386_90_89,10
87,302,87_106_267_262_315_302,6
281,323,281_22_329_89_279_323,6
317,364,317_315_303_272_306_387_398_386_91_85_312_348_83_78_49_364,16
55,393,55_132_134_52_361_0_367_352_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,28
205,183,205_195_194_181_313_183,6
109,89,109_108_106_267_262_315_303_272_306_387_398_386_90_89,14
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13
55,163,55_132_134_52_361_0_367_352_246_30_234_377_229_197_195_194_181_313_183_180_418_249_164_256_163,25
391,323,391_345_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,28
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13
391,239,391_345_169_375_157_158_177_178_188_189_210_201_233_243_237_239,16
346,240,346_170_370_169_375_157_158_177_178_188_189_210_201_233_243_237_239_240,18
49,8,49_365_48_41_378_382_353_1_127_409_71_26_342_8,14
